Año,Mes,Índice Original,Interanual Original,Acumulada Original ,Promedio 12 meses Original,Índice Desestacionalizada,Respecto al período anterior Desestacionalizada,Interanual Desestacionalizada,Acumulada Desestacionalizada ,Promedio 12 meses Desestacionalizada,Índice Tendencia-Ciclo,Respecto al período anterior Tendencia-Ciclo,Interanual Tendencia-Ciclo,Acumulada Tendencia-Ciclo ,Promedio 12 meses Tendencia-Ciclo
2016,Marzo,89.47001372,6.983853184568616,5.803209643975492,6.661278579406684,87.7334001601109,-0.16441243983949505,6.8118425692943845,5.789734426721324,6.625598247952041,88.0359870869379,0.8107061245654563,6.5589052392900555,6.193373107478095,6.691647832076626
2016,Abril,93.63827143,9.987420902062212,6.884977482646605,6.787655060003274,92.6794899603063,5.637636055560293,10.532648904171495,6.996681105031783,6.774046629632679,88.821458861859,0.8922166955945414,6.892585876942576,6.3694980627439435,6.628842545946583
2016,Mayo,91.6588346,6.141168260739491,6.730444978439067,6.726261759758785,89.3314482731616,-3.6124947262642877,6.57606501637413,6.911381138348219,6.714901935992174,89.5993617928899,0.875805172532381,7.1724834562784565,6.5318544701674455,6.591943434089842
2016,Junio,89.45549557,9.0800367856354,7.117630041213047,6.953297061432622,91.0010442233907,1.868990128900336,9.191892787628746,7.294058343314475,6.962613838848043,90.2595950088612,0.7368726771708793,7.269990475139764,6.656663825442607,6.5641207019761225
2016,Julio,89.28916619,5.293793548177803,6.852100195714783,6.621655280539613,90.1482078255109,-0.9371721007796907,5.32219285748117,7.004186591690825,6.635319250098817,90.7164109035118,0.5061133883946098,7.14854580697461,6.728182574918918,6.5351310481781155
2016,Agosto,90.1592784,8.062017729886023,7.003695796499997,6.654644275129186,90.9367976323015,0.8747703651713152,7.800320517261142,7.1049346873350885,6.669245156700924,90.9518211820067,0.2595013142057354,6.929835054435941,6.753884340390414,6.519623276585932
2016,Septiembre,89.08650947,7.817989148306225,7.093582714035989,6.775484051840024,92.0541042458582,1.2286628104878616,7.706264831991504,7.173271550066573,6.807961075706515,90.9565384314386,0.005186536531766706,6.552167960744953,6.731008152851189,6.5151303058
2016,Octubre,91.26531816,5.280543820640247,6.90540476307919,6.725965542333483,90.824438833389,-1.3358072652415558,5.408536270716809,6.991870644388598,6.772597241701732,90.8449067017671,-0.12273084661819667,6.073073305933079,6.663795703978636,6.51016951001057
2016,Noviembre,91.1402018,4.7087699936770235,6.69808770424045,6.446033881391244,90.0697601643838,-0.8309202662838402,4.35224145758832,6.745442992122037,6.4575406182104444,90.8278732292488,-0.018750057803700315,5.691939650816352,6.5734370578580865,6.4984613662701065
2016,Diciembre,94.03903419,6.946847142199658,6.719740786248423,6.719740786248423,90.5154608291475,0.4948394044241695,6.242898847627899,6.703041187113385,6.703041187113385,91.0477333245703,0.24206236203130516,5.554666887147789,6.4864788694301865,6.4864788694301865
2017,Enero,87.75082212,5.408879636866828,5.408879636866828,6.931975425890812,88.6318456638652,-2.080987212601954,5.1896301359197565,5.1896301359197565,6.907810177125185,91.5296237551177,0.5292722981137103,5.5601593713477655,5.5601593713477655,6.460992378771493
2017,Febrero,89.75740773,4.839108820818524,5.120001916418744,6.695916690669378,91.9988810053806,3.7989001766755734,4.689460607790636,4.934287931639503,6.633146369939638,92.1264026679458,0.6520062995394369,5.494673405549278,5.527299832792835,6.399638187073322
2017,Marzo,95.1014568,6.294224004059984,5.526678093934237,6.637324127291393,93.390832709673,1.513009385636991,6.448436444087946,5.445471203865111,6.602986272749021,92.7331043189375,0.6585535019515163,5.335451316472529,5.462853643685307,6.295483930480941
2017,Abril,94.00501949,0.39166470546625476,4.160559537676619,5.794955489171045,93.7869778607995,0.42417991106043473,1.1949654675133843,4.328084065591469,5.798661815342825,93.1712204022051,0.47244841686824657,4.897196686569998,5.319669425938727,6.126988241587156
2017,Mayo,95.29715924,3.969420575635368,4.121068090348402,5.604980788385873,93.3232397430719,-0.49445896253944,4.468517579278483,4.356474333079603,5.621465563255242,93.3683241662281,0.21155005072613164,4.206461182223833,5.09323523302163,5.876896543668337
2017,Junio,91.32815833,2.093401582616707,3.7808111259468973,5.031995556284798,93.0197047330343,-0.32525125667866917,2.218282797599727,3.991332471010395,5.040901951038862,93.4412630667261,0.07811953480940304,3.525019204387675,4.826545138506376,5.561187172861963
2017,Julio,91.97045364,3.0029258468988758,3.6692115088586803,4.838322950232083,92.913758528322,-0.11389651796504552,3.067782232747291,3.8577011514861965,4.84866580003596,93.5441750460465,0.11013547542366098,3.117147288314115,4.577022864993509,5.221949469034854
2017,Agosto,94.91546085,5.275311132037629,3.8724367289270134,4.621101836087178,95.5747909018741,2.8639809816120447,5.100238176767661,4.015960956058635,4.634766736659017,93.7603892123903,0.23113589513977217,3.087973384021936,4.386922158829449,4.9004729055004645
2017,Septiembre,88.70222743,-0.4313582856553637,3.394142702667537,3.949355481438971,91.7105636062175,-4.043144912159903,-0.3731942670618622,3.514684302280642,3.9545746445216707,94.0565300859344,0.31584859665341014,3.4082119965817697,4.276114887621091,4.639710140962848
2017,Octubre,95.03719776,4.132872898538963,3.4696512166376436,3.856975255807967,94.877791112363,3.453503480520297,4.462843185202161,3.610705253323559,3.8805204243901983,94.4374698106058,0.4050114588783629,3.9546114793564016,4.243453056486473,4.466235304607082
2017,Noviembre,96.77821726,6.186090603981967,3.7212471554147584,3.9858372906972193,95.3771246005521,0.5262912240418132,5.892504239471691,3.8189510953239676,4.011573052191125,94.9433509016568,0.5356783616349929,4.531073475672585,4.269973475521809,4.373410800346917
2017,Diciembre,99.83058189,6.158663527209924,3.9338617642910236,3.9338617642910236,95.3497470891086,-0.02870448397155201,5.3408403555344535,3.946805676552458,3.946805676552458,95.565718023801,0.655514173698009,4.962215460240856,4.328543468490636,4.328543468490636
2018,Enero,95.12044562501521,8.39835266151374,8.39835266151374,4.18231780596912,95.6270643529936,0.29084215989145434,7.8924438916206725,7.8924438916206725,4.173269936461182,96.3228417682639,0.7922545449554832,5.236794183673467,5.236794183673467,4.306654958821582
2018,Febrero,94.68730753462656,5.492471239205372,6.928987641888654,4.238786565929999,96.5559275516023,0.9713392384188779,4.953371711070247,6.395515009195265,4.197587223756344,97.2285639899414,0.9402984848147611,5.538218332897998,5.3879959878621975,4.315600389298055
2018,Marzo,101.06712807855953,6.272954673139708,6.700126768294837,4.247531387937741,99.6384332251298,3.1924561771519535,6.689736384382499,6.495790255026293,4.229897412033409,98.2533845680963,1.0540324119781417,5.952869031724475,5.577520195137666,4.372501138484267
2018,Abril,98.78366596089812,5.08339501105732,6.2855746573078335,4.649863802558542,99.4716915626082,-0.1673467327058944,6.061303852061499,6.385001182642355,4.6445054922327245,99.2632192820095,1.0277861860456596,6.538498533674058,5.819795981228637,4.5142707918258225
2018,Mayo,100.54051497553124,5.50211126684917,6.123938117796499,4.780830925780805,98.7454142421938,-0.730134683551924,5.810101014548664,6.2686536462258005,4.758028329277607,100.121896129431,0.8650503717615408,7.233258199193088,6.104877907672531,4.770473109161216
2018,Junio,99.45896553721194,8.902848098428251,6.582677037287581,5.3425233222055795,101.446291715145,2.735192812424401,9.058926822327493,6.737028080887313,5.332514229902955,100.673224647979,0.5506572886267378,7.739580292368899,6.3794230349843275,5.1243316041594085
2018,Julio,100.45647564759354,9.22690023995139,6.959593432807452,5.856782740550031,101.685923990311,0.23621590411492832,9.441191058173644,7.12532578298304,5.8644546100806,100.940671662919,0.2656585361948913,7.906955845440521,6.599285619376104,5.524843718001236
2018,Agosto,100.69497707239319,6.089119908006197,6.847961896200076,5.924143097182011,101.353478756245,-0.32693338568441277,6.046246923316673,6.986452665383808,5.942991685754762,101.069611209049,0.12773795141821154,7.795639563847729,6.75011855915271,5.917265163107828
2018,Septiembre,97.26934683430993,9.658291175462026,7.148726852338825,6.736084503285184,100.274047457354,-1.0650165264549258,9.337510875961883,7.244877450982656,6.7503494331016896,101.12569214382,0.05548743494718167,7.51586524766212,6.836093023071044,6.258183746261992
2018,Octubre,100.57583195833452,5.8278593317969865,7.012850400272399,6.872479162432526,100.696705939654,0.4215033630508884,6.133063132129308,7.131356934062865,6.884781656360843,101.205535201954,0.07895427605129157,7.166716140237071,6.869588266217789,6.523045169422261
2018,Noviembre,103.50822562458077,6.954052838667437,7.007275169800934,6.935682935196013,101.629871288391,0.9267089126989276,6.555813790807761,7.07778153404152,6.93679231829465,101.380727627258,0.17310557664103499,6.780229120277298,6.8613281563564215,6.7066902063206015
2018,Diciembre,107.8371151509453,8.020120798021011,7.097516401424457,7.097516401424457,102.516603848566,0.8725117418074433,7.516387802014464,7.115123201434798,7.115123201434798,101.821147588613,0.43442177982217345,6.545683634432663,6.834459537845802,6.834459537845802
2019,Enero,102.09844738245775,7.335964115381984,7.335964115381984,7.016416341657148,102.126037921283,-0.3809782148655074,6.79616551262032,6.79616551262032,7.02692380228342,102.485478388826,0.6524487456152741,6.397897432665388,6.397897432665388,6.926863533716542
2019,Febrero,100.61275414087842,6.257910126006024,6.79816717120174,7.0737662354815996,101.717593901722,-0.39994111969350854,5.3457788465251355,6.067467158695152,7.0520583780358805,103.196091360264,0.6933791817236568,6.1376277972592135,6.267153650146227,6.9720655929679225
2019,Marzo,106.13333074654201,5.012710625401866,6.177794024421559,6.957719815997848,105.24677244641,3.4695851615383617,5.628690696699692,5.917652938612221,6.957148172172211,103.867293168418,0.6504139830362305,5.713705054537726,6.080802364952504,6.946474613179987
2019,Abril,102.78998917166646,4.0556535048559255,5.639802950662954,6.861104975733426,104.584695393526,-0.6290711225573489,5.14015972845867,5.720004266828326,6.872560964783901,104.452708639413,0.5636186841278032,5.228008314600416,5.864341082662293,6.830611495622293
2019,Mayo,107.43111374856781,6.8535542857658385,5.888745051331455,6.973181421008803,105.699952877812,1.066367770245492,7.042897828714075,5.986574474108991,6.973506237306836,104.948328610761,0.47449221547614684,4.820556409649598,5.651580805237799,6.623089623838595
2019,Junio,101.04886892827926,1.5985521088820036,5.165108414572913,6.358787101532798,102.979659085573,-2.5735998154924715,1.5115065760447948,5.21905005750871,6.327094599773602,105.336426654366,0.36979916568695614,4.632018118712963,5.478157832740237,6.359938543868935
2019,Julio,104.41906500900856,3.9445832992548873,4.987442750502154,5.924332366685519,106.11190914858,3.0416201518051196,4.352603570471288,5.091945138483169,5.906773149770814,105.679543265273,0.32573405212694695,4.694709797631404,5.364010406523704,6.091568132235366
2019,Agosto,105.32904803228644,4.60208750686904,4.938374879690642,5.797292002553604,106.141290363366,0.027688894697817545,4.723874963024883,5.044992268430008,5.793087761572835,106.002769347391,0.3058549196287146,4.880950939979783,5.302511140193445,5.851021907693735
2019,Septiembre,102.73108541561784,5.615066574479542,5.012491452611243,5.491963024366456,105.552092481993,-0.5551071400733179,5.263620207296142,5.069492436772379,5.4727285988483345,106.262324871421,0.2448573047930438,5.0794537161691125,5.277307945848179,5.65218668484782
2019,Octubre,105.60407390898854,4.999453499660916,5.011165101743671,5.423238051521608,106.104659222822,0.5235014558553388,5.370536436821368,5.09994375977611,5.411237996586877,106.13207232411,-0.12257641404760022,4.867853435412556,5.235711007648419,5.464772320102071
2019,Noviembre,107.91903412979258,4.261312063458206,4.940098817997111,5.1980535762064335,105.788340792438,-0.2981192651679123,4.0917787765829985,5.0065545001382645,5.2072396729189165,105.198319921533,-0.8798022898539841,3.765599619989885,5.099921148847557,5.215719836556531
2019,Diciembre,112.61155078664419,4.427451187854814,4.894030116727507,4.894030116727507,106.705875292697,0.8673304575777934,4.086432135734071,4.927924489800773,4.927924489800773,103.305440680508,-1.7993436040013648,1.457745396753893,4.790726134558128,4.790726134558128
2020,Enero,106.72601884387016,4.532460169622027,4.532460169622027,4.670999059022591,106.32425275041,-0.3576396718926702,4.1108172945697845,4.1108172945697845,4.7106178487609895,100.602662855298,-2.61629765809613,-1.8371534807933187,-1.8371534807933187,4.098879700003195
2020,Febrero,105.74336712822463,5.099366408519444,4.813835829213062,4.582648153963163,105.906530052058,-0.3928762136072237,4.118202161155409,4.114502329288101,4.610240198764302,97.6521629272816,-2.932824881842606,-5.372227145336552,-3.61079700800137,3.1285370131337515
